Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G129""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H129""))>0,0),""Mac Pass"",""Mac Fail"")",,.PES Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G130""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H130""))>0,0),""Mac Pass"",""Mac Fail"")",,.XXX Files - Embroidery File,Designer Edition+ and above.,,,
Design,,,,,,,
Line Tools,,,,,,,
Line,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G134""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H134""))>0,0),""Mac Pass"",""Mac Fail"")",,2-point Click ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G135""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H135""))>0,0),""Mac Pass"",""Mac Fail"")",,Drag-Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G136""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H136""))>0,0),""Mac Pass"",""Mac Fail"")",,Edit Point,,,,
Poly-Line,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G138""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H138""))>0,0),""Mac Pass"",""Mac Fail"")",,2-point Click ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G139""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H139""))>0,0),""Mac Pass"",""Mac Fail"")",,Drag-Click,,,,
Curve,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G141""))>0,0),""WIN Pass"",""WIN Fail"")",,,2-point Click ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G142""))>0,0),""WIN Pass"",""WIN Fail"")",,,Drag-Click,,,,
Arc,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G144""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H144""))>0,0),""Mac Pass"",""Mac Fail"")",,2-point Click ,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G145""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H145""))>0,0),""Mac Pass"",""Mac Fail"")",,Drag-Click,,,,
Polygon Tools,,,,,,,
Rectangle,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G148""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H148""))>0,0),""Mac Pass"",""Mac Fail"")",,2-point Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G149""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H149""))>0,0),""Mac Pass"",""Mac Fail"")",,Drag-Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G150""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H150""))>0,0),""Mac Pass"",""Mac Fail"")",,Edit Point,,,,
Rounded Rectangle,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G152""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H152""))>0,0),""Mac Pass"",""Mac Fail"")",,2-point Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G153""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H153""))>0,0),""Mac Pass"",""Mac Fail"")",,Drag-Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G154""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H154""))>0,0),""Mac Pass"",""Mac Fail"")",,Edit Point,,,,
Ellipse,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G156""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H156""))>0,0),""Mac Pass"",""Mac Fail"")",,2-point Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G157""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H157""))>0,0),""Mac Pass"",""Mac Fail"")",,Drag-Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G158""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H158""))>0,0),""Mac Pass"",""Mac Fail"")",,Edit Point,,,,
Regular Polygon,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G160""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H160""))>0,0),""Mac Pass"",""Mac Fail"")",,2-point Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G161""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H161""))>0,0),""Mac Pass"",""Mac Fail"")",,Drag-Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G162""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H162""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Scale,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G163""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H163""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Number of sides the poygon has,,,,
Flexishapes,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G165""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H165""))>0,0),""Mac Pass"",""Mac Fail"")",,Create all flexishapes,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G166""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H166""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust nodes,,,,
Freehand Tools,,,,,,,
Freehand,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G169""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H169""))>0,0),""Mac Pass"",""Mac Fail"")",,Drag-Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G170""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H170""))>0,0),""Mac Pass"",""Mac Fail"")",,Edit Point,,,,
Freehand (Smoothing),,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G172""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H172""))>0,0),""Mac Pass"",""Mac Fail"")",,Drag-Click,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G173""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H173""))>0,0),""Mac Pass"",""Mac Fail"")",,Edit Point,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G174""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H174""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Smoothing Slider (3 Inputs),,,,
Lasso Tool,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G176""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H176""))>0,0),""Mac Pass"",""Mac Fail"")",,Select a few shapes from a large design,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G177""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H177""))>0,0),""Mac Pass"",""Mac Fail"")",,Shift + click,,,,
Stickey Notes,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G179""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H179""))>0,0),""Mac Pass"",""Mac Fail"")",,Create Sticky Note,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G180""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H180""))>0,0),""Mac Pass"",""Mac Fail"")",,Add text to note,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G181""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H181""))>0,0),""Mac Pass"",""Mac Fail"")",,Resize sticky note,,,,
Erase and Knife Tools,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G183""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H183""))>0,0),""Mac Pass"",""Mac Fail"")",,Straight Knife,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G184""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H184""))>0,0),""Mac Pass"",""Mac Fail"")",,Poly Knife,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G185""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H185""))>0,0),""Mac Pass"",""Mac Fail"")",,Curved Knife,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G186""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H186""))>0,0),""Mac Pass"",""Mac Fail"")",,Freehand Knife,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G187""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H187""))>0,0),""Mac Pass"",""Mac Fail"")",,Triangular Knife,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G188""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H188""))>0,0),""Mac Pass"",""Mac Fail"")",,Sawtooth Knife,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G189""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H189""))>0,0),""Mac Pass"",""Mac Fail"")",,Squaire Knife,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G190""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H190""))>0,0),""Mac Pass"",""Mac Fail"")",,Dovetail Knife,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G191""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H191""))>0,0),""Mac Pass"",""Mac Fail"")",,Serrated Knife 1,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G192""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H192""))>0,0),""Mac Pass"",""Mac Fail"")",,Serrated Knife 2,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G193""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H193""))>0,0),""Mac Pass"",""Mac Fail"")",,Wave Knife,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G194""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H194""))>0,0),""Mac Pass"",""Mac Fail"")",,Treat Unfilled Shapes as - Solid,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G195""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H195""))>0,0),""Mac Pass"",""Mac Fail"")",,Treat Unfilled Shapes as - Outline,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G196""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H196""))>0,0),""Mac Pass"",""Mac Fail"")",,Auto Apply,Default,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G197""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H197""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply selected Knife,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G198""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H198""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust wave length,"Triangular, Sawtooh, Square, Dovetail, Serrated and Wave",,,
Erasers,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G200""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H200""))>0,0),""Mac Pass"",""Mac Fail"")",,Square Eraser,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G201""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H201""))>0,0),""Mac Pass"",""Mac Fail"")",,Round Eraser,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G202""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H202""))>0,0),""Mac Pass"",""Mac Fail"")",,Eraser Size (3 imputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G203""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H203""))>0,0),""Mac Pass"",""Mac Fail"")",,Treat Unfilled Shapes as - Solid,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G204""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H204""))>0,0),""Mac Pass"",""Mac Fail"")",,Treat Unfilled Shapes as - Outline,,,,
Select,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G206""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H206""))>0,0),""Mac Pass"",""Mac Fail"")",,Single click select,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G207""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H207""))>0,0),""Mac Pass"",""Mac Fail"")",,Drag-Click select,,,,
Text,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G209""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H209""))>0,0),""Mac Pass"",""Mac Fail"")",,Single-Click + Type,,,,
Point Editing,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G211""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H211""))>0,0),""Mac Pass"",""Mac Fail"")",,Delete Point,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G212""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H212""))>0,0),""Mac Pass"",""Mac Fail"")",,Break Path,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G213""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H213""))>0,0),""Mac Pass"",""Mac Fail"")",,Corner,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G214""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H214""))>0,0),""Mac Pass"",""Mac Fail"")",,Smooth,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G215""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H215""))>0,0),""Mac Pass"",""Mac Fail"")",,Make Flat,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G216""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H216""))>0,0),""Mac Pass"",""Mac Fail"")",,Make Curve,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G217""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H217""))>0,0),""Mac Pass"",""Mac Fail"")",,Simplify,,,,
Fill Colour,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G219""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H219""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Default Color + Draw Shapes,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G220""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H220""))>0,0),""Mac Pass"",""Mac Fail"")",,Use Fill Color on Shape,,,,
Advanced,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G222""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H222""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Shape + set Color using Color Selector,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G223""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H223""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Transparency,,,,
Fill Gradient,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G225""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H225""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Default Gradient + Draw Shapes,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G226""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H226""))>0,0),""Mac Pass"",""Mac Fail"")",,Use Fill Gradient on Shape,,,,
Advanced,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G228""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H228""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Shape + set Gradient using Color Selector,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G229""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H229""))>0,0),""Mac Pass"",""Mac Fail"")",,Additional gradient steps added,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G230""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H230""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Angle of Gradient,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G231""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H231""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Transparency,,,,
Fill Pattern,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G233""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H233""))>0,0),""Mac Pass"",""Mac Fail"")",,Patterns Added from Library,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G234""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H234""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Default Pattern + Draw Shapes,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G235""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H235""))>0,0),""Mac Pass"",""Mac Fail"")",,Use Fill Pattern on Shape,,,,
Advanced,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G237""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H237""))>0,0),""Mac Pass"",""Mac Fail"")",,Mirror Horizontally,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G238""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H238""))>0,0),""Mac Pass"",""Mac Fail"")",,Mirror Vertically,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G239""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H239""))>0,0),""Mac Pass"",""Mac Fail"")",,Fix Aspect Ratio,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G240""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H240""))>0,0),""Mac Pass"",""Mac Fail"")",,Stretch Aspect Ratio,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G241""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H241""))>0,0),""Mac Pass"",""Mac Fail"")",,Rotate Pattern 0/90/80/270,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G242""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H242""))>0,0),""Mac Pass"",""Mac Fail"")",,Use Spin-wheel to Rotate,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G243""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H243""))>0,0),""Mac Pass"",""Mac Fail"")",,Scale Pattern,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G244""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H244""))>0,0),""Mac Pass"",""Mac Fail"")",,Pan the Pattern,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G245""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H245""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Transparency,,,,
Line Style,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G247""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H247""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply ALL Line Styles,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G248""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H248""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Line Thickness (3 inputs),,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G249""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H249""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply ALL Corner Styles,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G250""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H250""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply ALL End Cap Styles,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G251""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H251""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply In Front Position,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G252""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H252""))>0,0),""Mac Pass"",""Mac Fail"")",,Apply Behind Position,,,,
Line Colour,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G254""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H254""))>0,0),""Mac Pass"",""Mac Fail"")",,Set Default Color + Draw Shapes,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G255""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H255""))>0,0),""Mac Pass"",""Mac Fail"")",,Use Line Color on Shape,,,,
Advanced,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G257""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H257""))>0,0),""Mac Pass"",""Mac Fail"")",,Select Shape + set Color using Color Selector,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G258""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H258""))>0,0),""Mac Pass"",""Mac Fail"")",,Adjust Transparency,,,,
Effects,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G260""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H260""))>0,0),""Mac Pass"",""Mac Fail"")",,Grey Shade,3 Inputs,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G261""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H261""))>0,0),""Mac Pass"",""Mac Fail"")",,Colourize,3 Inputs,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G262""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H262""))>0,0),""Mac Pass"",""Mac Fail"")",,Contrast,3 Inputs,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G263""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H263""))>0,0),""Mac Pass"",""Mac Fail"")",,Brightness,3 Inputs,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G264""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H264""))>0,0),""Mac Pass"",""Mac Fail"")",,Saturation,3 Inputs,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G265""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H265""))>0,0),""Mac Pass"",""Mac Fail"")",,Gamma,3 Inputs,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G266""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H266""))>0,0),""Mac Pass"",""Mac Fail"")",,Invert,3 Inputs,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G267""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H267""))>0,0),""Mac Pass"",""Mac Fail"")",,Sepia,3 Inputs,,,
Tint,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G269""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H269""))>0,0),""Mac Pass"",""Mac Fail"")",,Red,3 Inputs,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G270""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H270""))>0,0),""Mac Pass"",""Mac Fail"")",,Green,3 Inputs,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G271""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H271""))>0,0),""Mac Pass"",""Mac Fail"")",,Blue,3 Inputs,,,
Shadows,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G273""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H273""))>0,0),""Mac Pass"",""Mac Fail"")",,Show Shadow,Designer Edition and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G274""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H274""))>0,0),""Mac Pass"",""Mac Fail"")",,Dynamic,Designer Edition and above.,,,
