Silhouette Studio Level Testing Document,,,,,,4.2.233,
Level,Win,Mac,Task,Notes,Ticket No.,Win,Mac
3,"=IFS(INDIRECT(""Setup!B71"")=True,""Pass"",INDIRECT(""Setup!C71"")=True,""Fail"",INDIRECT(""Setup!D71"")=True,""N/A"",INDIRECT(""Setup!E71"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F71"")=True,""Pass"",INDIRECT(""Setup!G71"")=True,""Fail"",INDIRECT(""Setup!H71"")=True,""N/A"",INDIRECT(""Setup!I71"")=True,""Retest"")",.JPG Files,,,,
3,"=IFS(INDIRECT(""Setup!B72"")=True,""Pass"",INDIRECT(""Setup!C72"")=True,""Fail"",INDIRECT(""Setup!D72"")=True,""N/A"",INDIRECT(""Setup!E72"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F72"")=True,""Pass"",INDIRECT(""Setup!G72"")=True,""Fail"",INDIRECT(""Setup!H72"")=True,""N/A"",INDIRECT(""Setup!I72"")=True,""Retest"")",.BMP Files,,,,
3,"=IFS(INDIRECT(""Setup!B73"")=True,""Pass"",INDIRECT(""Setup!C73"")=True,""Fail"",INDIRECT(""Setup!D73"")=True,""N/A"",INDIRECT(""Setup!E73"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F73"")=True,""Pass"",INDIRECT(""Setup!G73"")=True,""Fail"",INDIRECT(""Setup!H73"")=True,""N/A"",INDIRECT(""Setup!I73"")=True,""Retest"")",.GIF Files,,,,
3,"=IFS(INDIRECT(""Setup!B74"")=True,""Pass"",INDIRECT(""Setup!C74"")=True,""Fail"",INDIRECT(""Setup!D74"")=True,""N/A"",INDIRECT(""Setup!E74"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F74"")=True,""Pass"",INDIRECT(""Setup!G74"")=True,""Fail"",INDIRECT(""Setup!H74"")=True,""N/A"",INDIRECT(""Setup!I74"")=True,""Retest"")",.TIF Files,,,,
3,"=IFS(INDIRECT(""Setup!B75"")=True,""Pass"",INDIRECT(""Setup!C75"")=True,""Fail"",INDIRECT(""Setup!D75"")=True,""N/A"",INDIRECT(""Setup!E75"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F75"")=True,""Pass"",INDIRECT(""Setup!G75"")=True,""Fail"",INDIRECT(""Setup!H75"")=True,""N/A"",INDIRECT(""Setup!I75"")=True,""Retest"")",.PDF Files,,,,
3,"=IFS(INDIRECT(""Setup!B76"")=True,""Pass"",INDIRECT(""Setup!C76"")=True,""Fail"",INDIRECT(""Setup!D76"")=True,""N/A"",INDIRECT(""Setup!E76"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F76"")=True,""Pass"",INDIRECT(""Setup!G76"")=True,""Fail"",INDIRECT(""Setup!H76"")=True,""N/A"",INDIRECT(""Setup!I76"")=True,""Retest"")",.SVG Files,,,,
3,"=IFS(INDIRECT(""Setup!B77"")=True,""Pass"",INDIRECT(""Setup!C77"")=True,""Fail"",INDIRECT(""Setup!D77"")=True,""N/A"",INDIRECT(""Setup!E77"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F77"")=True,""Pass"",INDIRECT(""Setup!G77"")=True,""Fail"",INDIRECT(""Setup!H77"")=True,""N/A"",INDIRECT(""Setup!I77"")=True,""Retest"")",.EPS Files,,,,
3,"=IFS(INDIRECT(""Setup!B78"")=True,""Pass"",INDIRECT(""Setup!C78"")=True,""Fail"",INDIRECT(""Setup!D78"")=True,""N/A"",INDIRECT(""Setup!E78"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F78"")=True,""Pass"",INDIRECT(""Setup!G78"")=True,""Fail"",INDIRECT(""Setup!H78"")=True,""N/A"",INDIRECT(""Setup!I78"")=True,""Retest"")",.AI Files,,,,
3,"=IFS(INDIRECT(""Setup!B79"")=True,""Pass"",INDIRECT(""Setup!C79"")=True,""Fail"",INDIRECT(""Setup!D79"")=True,""N/A"",INDIRECT(""Setup!E79"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F79"")=True,""Pass"",INDIRECT(""Setup!G79"")=True,""Fail"",INDIRECT(""Setup!H79"")=True,""N/A"",INDIRECT(""Setup!I79"")=True,""Retest"")",.CDR Files,,,,
3,"=IFS(INDIRECT(""Setup!B80"")=True,""Pass"",INDIRECT(""Setup!C80"")=True,""Fail"",INDIRECT(""Setup!D80"")=True,""N/A"",INDIRECT(""Setup!E80"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F80"")=True,""Pass"",INDIRECT(""Setup!G80"")=True,""Fail"",INDIRECT(""Setup!H80"")=True,""N/A"",INDIRECT(""Setup!I80"")=True,""Retest"")",.DST Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B81"")=True,""Pass"",INDIRECT(""Setup!C81"")=True,""Fail"",INDIRECT(""Setup!D81"")=True,""N/A"",INDIRECT(""Setup!E81"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F81"")=True,""Pass"",INDIRECT(""Setup!G81"")=True,""Fail"",INDIRECT(""Setup!H81"")=True,""N/A"",INDIRECT(""Setup!I81"")=True,""Retest"")",.EXP Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B82"")=True,""Pass"",INDIRECT(""Setup!C82"")=True,""Fail"",INDIRECT(""Setup!D82"")=True,""N/A"",INDIRECT(""Setup!E82"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F82"")=True,""Pass"",INDIRECT(""Setup!G82"")=True,""Fail"",INDIRECT(""Setup!H82"")=True,""N/A"",INDIRECT(""Setup!I82"")=True,""Retest"")",.JEF Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B83"")=True,""Pass"",INDIRECT(""Setup!C83"")=True,""Fail"",INDIRECT(""Setup!D83"")=True,""N/A"",INDIRECT(""Setup!E83"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F83"")=True,""Pass"",INDIRECT(""Setup!G83"")=True,""Fail"",INDIRECT(""Setup!H83"")=True,""N/A"",INDIRECT(""Setup!I83"")=True,""Retest"")",.PES Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B84"")=True,""Pass"",INDIRECT(""Setup!C84"")=True,""Fail"",INDIRECT(""Setup!D84"")=True,""N/A"",INDIRECT(""Setup!E84"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F84"")=True,""Pass"",INDIRECT(""Setup!G84"")=True,""Fail"",INDIRECT(""Setup!H84"")=True,""N/A"",INDIRECT(""Setup!I84"")=True,""Retest"")",.XXX Files - Embroidery File,Designer Edition+ and above.,,,
,Double Click,,,,,,
2,"=IFS(INDIRECT(""Setup!B86"")=True,""Pass"",INDIRECT(""Setup!C86"")=True,""Fail"",INDIRECT(""Setup!D86"")=True,""N/A"",INDIRECT(""Setup!E86"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F86"")=True,""Pass"",INDIRECT(""Setup!G86"")=True,""Fail"",INDIRECT(""Setup!H86"")=True,""N/A"",INDIRECT(""Setup!I86"")=True,""Retest"")",.STUDIO Files,,,,
2,"=IFS(INDIRECT(""Setup!B87"")=True,""Pass"",INDIRECT(""Setup!C87"")=True,""Fail"",INDIRECT(""Setup!D87"")=True,""N/A"",INDIRECT(""Setup!E87"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F87"")=True,""Pass"",INDIRECT(""Setup!G87"")=True,""Fail"",INDIRECT(""Setup!H87"")=True,""N/A"",INDIRECT(""Setup!I87"")=True,""Retest"")",.STUDIO3 Files,,,,
,Save,,,,,,
2,"=IFS(INDIRECT(""Setup!B89"")=True,""Pass"",INDIRECT(""Setup!C89"")=True,""Fail"",INDIRECT(""Setup!D89"")=True,""N/A"",INDIRECT(""Setup!E89"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F89"")=True,""Pass"",INDIRECT(""Setup!G89"")=True,""Fail"",INDIRECT(""Setup!H89"")=True,""N/A"",INDIRECT(""Setup!I89"")=True,""Retest"")",.STUDIO3 Files,,,,
,Save As,,,,,,
2,"=IFS(INDIRECT(""Setup!B91"")=True,""Pass"",INDIRECT(""Setup!C91"")=True,""Fail"",INDIRECT(""Setup!D91"")=True,""N/A"",INDIRECT(""Setup!E91"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F91"")=True,""Pass"",INDIRECT(""Setup!G91"")=True,""Fail"",INDIRECT(""Setup!H91"")=True,""N/A"",INDIRECT(""Setup!I91"")=True,""Retest"")",.STUDIO,,,,
2,"=IFS(INDIRECT(""Setup!B92"")=True,""Pass"",INDIRECT(""Setup!C92"")=True,""Fail"",INDIRECT(""Setup!D92"")=True,""N/A"",INDIRECT(""Setup!E92"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F92"")=True,""Pass"",INDIRECT(""Setup!G92"")=True,""Fail"",INDIRECT(""Setup!H92"")=True,""N/A"",INDIRECT(""Setup!I92"")=True,""Retest"")",.STUDIO3,,,,
3,"=IFS(INDIRECT(""Setup!B93"")=True,""Pass"",INDIRECT(""Setup!C93"")=True,""Fail"",INDIRECT(""Setup!D93"")=True,""N/A"",INDIRECT(""Setup!E93"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F93"")=True,""Pass"",INDIRECT(""Setup!G93"")=True,""Fail"",INDIRECT(""Setup!H93"")=True,""N/A"",INDIRECT(""Setup!I93"")=True,""Retest"")",.GSP,,,,
,Save Selection,,,,,,
3,"=IFS(INDIRECT(""Setup!B95"")=True,""Pass"",INDIRECT(""Setup!C95"")=True,""Fail"",INDIRECT(""Setup!D95"")=True,""N/A"",INDIRECT(""Setup!E95"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F95"")=True,""Pass"",INDIRECT(""Setup!G95"")=True,""Fail"",INDIRECT(""Setup!H95"")=True,""N/A"",INDIRECT(""Setup!I95"")=True,""Retest"")",.STUDIO,,,,
2,"=IFS(INDIRECT(""Setup!B96"")=True,""Pass"",INDIRECT(""Setup!C96"")=True,""Fail"",INDIRECT(""Setup!D96"")=True,""N/A"",INDIRECT(""Setup!E96"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F96"")=True,""Pass"",INDIRECT(""Setup!G96"")=True,""Fail"",INDIRECT(""Setup!H96"")=True,""N/A"",INDIRECT(""Setup!I96"")=True,""Retest"")",.STUDIO3,,,,
,Export SVG,,,,,,
2,"=IFS(INDIRECT(""Setup!B98"")=True,""Pass"",INDIRECT(""Setup!C98"")=True,""Fail"",INDIRECT(""Setup!D98"")=True,""N/A"",INDIRECT(""Setup!E98"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F98"")=True,""Pass"",INDIRECT(""Setup!G98"")=True,""Fail"",INDIRECT(""Setup!H98"")=True,""N/A"",INDIRECT(""Setup!I98"")=True,""Retest"")",Export file as SVG,Busniness Edition feature.,,,
2,"=IFS(INDIRECT(""Setup!B99"")=True,""Pass"",INDIRECT(""Setup!C99"")=True,""Fail"",INDIRECT(""Setup!D99"")=True,""N/A"",INDIRECT(""Setup!E99"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F99"")=True,""Pass"",INDIRECT(""Setup!G99"")=True,""Fail"",INDIRECT(""Setup!H99"")=True,""N/A"",INDIRECT(""Setup!I99"")=True,""Retest"")",Export store design as SVG,Busniness Edition feature.,,,
2,"=IFS(INDIRECT(""Setup!B100"")=True,""Pass"",INDIRECT(""Setup!C100"")=True,""Fail"",INDIRECT(""Setup!D100"")=True,""N/A"",INDIRECT(""Setup!E100"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F100"")=True,""Pass"",INDIRECT(""Setup!G100"")=True,""Fail"",INDIRECT(""Setup!H100"")=True,""N/A"",INDIRECT(""Setup!I100"")=True,""Retest"")",Verify the files are saved correctly,Busniness Edition feature.,,,
,Export PDF,,,,,,
2,"=IFS(INDIRECT(""Setup!B102"")=True,""Pass"",INDIRECT(""Setup!C102"")=True,""Fail"",INDIRECT(""Setup!D102"")=True,""N/A"",INDIRECT(""Setup!E102"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F102"")=True,""Pass"",INDIRECT(""Setup!G102"")=True,""Fail"",INDIRECT(""Setup!H102"")=True,""N/A"",INDIRECT(""Setup!I102"")=True,""Retest"")",Export file as PDF,Busniness Edition feature.,,,
2,"=IFS(INDIRECT(""Setup!B103"")=True,""Pass"",INDIRECT(""Setup!C103"")=True,""Fail"",INDIRECT(""Setup!D103"")=True,""N/A"",INDIRECT(""Setup!E103"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F103"")=True,""Pass"",INDIRECT(""Setup!G103"")=True,""Fail"",INDIRECT(""Setup!H103"")=True,""N/A"",INDIRECT(""Setup!I103"")=True,""Retest"")",Export store design as PDF,Busniness Edition feature.,,,
2,"=IFS(INDIRECT(""Setup!B104"")=True,""Pass"",INDIRECT(""Setup!C104"")=True,""Fail"",INDIRECT(""Setup!D104"")=True,""N/A"",INDIRECT(""Setup!E104"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F104"")=True,""Pass"",INDIRECT(""Setup!G104"")=True,""Fail"",INDIRECT(""Setup!H104"")=True,""N/A"",INDIRECT(""Setup!I104"")=True,""Retest"")",Verify the files are saved correctly,Busniness Edition feature.,,,
,Export JPEG,,,,,,
3,"=IFS(INDIRECT(""Setup!B106"")=True,""Pass"",INDIRECT(""Setup!C106"")=True,""Fail"",INDIRECT(""Setup!D106"")=True,""N/A"",INDIRECT(""Setup!E106"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F106"")=True,""Pass"",INDIRECT(""Setup!G106"")=True,""Fail"",INDIRECT(""Setup!H106"")=True,""N/A"",INDIRECT(""Setup!I106"")=True,""Retest"")",Export file as JPEG,Busniness Edition feature.,,,
3,"=IFS(INDIRECT(""Setup!B107"")=True,""Pass"",INDIRECT(""Setup!C107"")=True,""Fail"",INDIRECT(""Setup!D107"")=True,""N/A"",INDIRECT(""Setup!E107"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F107"")=True,""Pass"",INDIRECT(""Setup!G107"")=True,""Fail"",INDIRECT(""Setup!H107"")=True,""N/A"",INDIRECT(""Setup!I107"")=True,""Retest"")",Width in Pixels (3 inputs),Busniness Edition feature.,,,
3,"=IFS(INDIRECT(""Setup!B108"")=True,""Pass"",INDIRECT(""Setup!C108"")=True,""Fail"",INDIRECT(""Setup!D108"")=True,""N/A"",INDIRECT(""Setup!E108"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F108"")=True,""Pass"",INDIRECT(""Setup!G108"")=True,""Fail"",INDIRECT(""Setup!H108"")=True,""N/A"",INDIRECT(""Setup!I108"")=True,""Retest"")",Height in Pixels (3 inputs),Busniness Edition feature.,,,
3,"=IFS(INDIRECT(""Setup!B109"")=True,""Pass"",INDIRECT(""Setup!C109"")=True,""Fail"",INDIRECT(""Setup!D109"")=True,""N/A"",INDIRECT(""Setup!E109"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F109"")=True,""Pass"",INDIRECT(""Setup!G109"")=True,""Fail"",INDIRECT(""Setup!H109"")=True,""N/A"",INDIRECT(""Setup!I109"")=True,""Retest"")",Dots per Inch (3 inputs),Busniness Edition feature.,,,
3,"=IFS(INDIRECT(""Setup!B110"")=True,""Pass"",INDIRECT(""Setup!C110"")=True,""Fail"",INDIRECT(""Setup!D110"")=True,""N/A"",INDIRECT(""Setup!E110"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F110"")=True,""Pass"",INDIRECT(""Setup!G110"")=True,""Fail"",INDIRECT(""Setup!H110"")=True,""N/A"",INDIRECT(""Setup!I110"")=True,""Retest"")",Verify the files are saved correctly,Busniness Edition feature.,,,
,Recovered Docs,,,,,,
2,"=IFS(INDIRECT(""Setup!B112"")=True,""Pass"",INDIRECT(""Setup!C112"")=True,""Fail"",INDIRECT(""Setup!D112"")=True,""N/A"",INDIRECT(""Setup!E112"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F112"")=True,""Pass"",INDIRECT(""Setup!G112"")=True,""Fail"",INDIRECT(""Setup!H112"")=True,""N/A"",INDIRECT(""Setup!I112"")=True,""Retest"")",All tabs saved upon force quitting Studio,Close Studio by the task manager,,,
,Recover file types,,,,,,
2,"=IFS(INDIRECT(""Setup!B114"")=True,""Pass"",INDIRECT(""Setup!C114"")=True,""Fail"",INDIRECT(""Setup!D114"")=True,""N/A"",INDIRECT(""Setup!E114"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F114"")=True,""Pass"",INDIRECT(""Setup!G114"")=True,""Fail"",INDIRECT(""Setup!H114"")=True,""N/A"",INDIRECT(""Setup!I114"")=True,""Retest"")",.STUDIO Files,,,,
2,"=IFS(INDIRECT(""Setup!B115"")=True,""Pass"",INDIRECT(""Setup!C115"")=True,""Fail"",INDIRECT(""Setup!D115"")=True,""N/A"",INDIRECT(""Setup!E115"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F115"")=True,""Pass"",INDIRECT(""Setup!G115"")=True,""Fail"",INDIRECT(""Setup!H115"")=True,""N/A"",INDIRECT(""Setup!I115"")=True,""Retest"")",.STUDIO3 Files,,,,
3,"=IFS(INDIRECT(""Setup!B116"")=True,""Pass"",INDIRECT(""Setup!C116"")=True,""Fail"",INDIRECT(""Setup!D116"")=True,""N/A"",INDIRECT(""Setup!E116"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F116"")=True,""Pass"",INDIRECT(""Setup!G116"")=True,""Fail"",INDIRECT(""Setup!H116"")=True,""N/A"",INDIRECT(""Setup!I116"")=True,""Retest"")",.GSD Files,,,,
3,"=IFS(INDIRECT(""Setup!B117"")=True,""Pass"",INDIRECT(""Setup!C117"")=True,""Fail"",INDIRECT(""Setup!D117"")=True,""N/A"",INDIRECT(""Setup!E117"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F117"")=True,""Pass"",INDIRECT(""Setup!G117"")=True,""Fail"",INDIRECT(""Setup!H117"")=True,""N/A"",INDIRECT(""Setup!I117"")=True,""Retest"")",.DXF Files,,,,
3,"=IFS(INDIRECT(""Setup!B118"")=True,""Pass"",INDIRECT(""Setup!C118"")=True,""Fail"",INDIRECT(""Setup!D118"")=True,""N/A"",INDIRECT(""Setup!E118"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F118"")=True,""Pass"",INDIRECT(""Setup!G118"")=True,""Fail"",INDIRECT(""Setup!H118"")=True,""N/A"",INDIRECT(""Setup!I118"")=True,""Retest"")",.PNG Files,,,,
3,"=IFS(INDIRECT(""Setup!B119"")=True,""Pass"",INDIRECT(""Setup!C119"")=True,""Fail"",INDIRECT(""Setup!D119"")=True,""N/A"",INDIRECT(""Setup!E119"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F119"")=True,""Pass"",INDIRECT(""Setup!G119"")=True,""Fail"",INDIRECT(""Setup!H119"")=True,""N/A"",INDIRECT(""Setup!I119"")=True,""Retest"")",.JPG Files,,,,
3,"=IFS(INDIRECT(""Setup!B120"")=True,""Pass"",INDIRECT(""Setup!C120"")=True,""Fail"",INDIRECT(""Setup!D120"")=True,""N/A"",INDIRECT(""Setup!E120"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F120"")=True,""Pass"",INDIRECT(""Setup!G120"")=True,""Fail"",INDIRECT(""Setup!H120"")=True,""N/A"",INDIRECT(""Setup!I120"")=True,""Retest"")",.BMP Files,,,,
3,"=IFS(INDIRECT(""Setup!B121"")=True,""Pass"",INDIRECT(""Setup!C121"")=True,""Fail"",INDIRECT(""Setup!D121"")=True,""N/A"",INDIRECT(""Setup!E121"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F121"")=True,""Pass"",INDIRECT(""Setup!G121"")=True,""Fail"",INDIRECT(""Setup!H121"")=True,""N/A"",INDIRECT(""Setup!I121"")=True,""Retest"")",.GIF Files,,,,
3,"=IFS(INDIRECT(""Setup!B122"")=True,""Pass"",INDIRECT(""Setup!C122"")=True,""Fail"",INDIRECT(""Setup!D122"")=True,""N/A"",INDIRECT(""Setup!E122"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F122"")=True,""Pass"",INDIRECT(""Setup!G122"")=True,""Fail"",INDIRECT(""Setup!H122"")=True,""N/A"",INDIRECT(""Setup!I122"")=True,""Retest"")",.TIF Files,,,,
3,"=IFS(INDIRECT(""Setup!B123"")=True,""Pass"",INDIRECT(""Setup!C123"")=True,""Fail"",INDIRECT(""Setup!D123"")=True,""N/A"",INDIRECT(""Setup!E123"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F123"")=True,""Pass"",INDIRECT(""Setup!G123"")=True,""Fail"",INDIRECT(""Setup!H123"")=True,""N/A"",INDIRECT(""Setup!I123"")=True,""Retest"")",.PDF Files,,,,
3,"=IFS(INDIRECT(""Setup!B124"")=True,""Pass"",INDIRECT(""Setup!C124"")=True,""Fail"",INDIRECT(""Setup!D124"")=True,""N/A"",INDIRECT(""Setup!E124"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F124"")=True,""Pass"",INDIRECT(""Setup!G124"")=True,""Fail"",INDIRECT(""Setup!H124"")=True,""N/A"",INDIRECT(""Setup!I124"")=True,""Retest"")",.SVG Files,,,,
3,"=IFS(INDIRECT(""Setup!B125"")=True,""Pass"",INDIRECT(""Setup!C125"")=True,""Fail"",INDIRECT(""Setup!D125"")=True,""N/A"",INDIRECT(""Setup!E125"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F125"")=True,""Pass"",INDIRECT(""Setup!G125"")=True,""Fail"",INDIRECT(""Setup!H125"")=True,""N/A"",INDIRECT(""Setup!I125"")=True,""Retest"")",.EPS Files,,,,
3,"=IFS(INDIRECT(""Setup!B126"")=True,""Pass"",INDIRECT(""Setup!C126"")=True,""Fail"",INDIRECT(""Setup!D126"")=True,""N/A"",INDIRECT(""Setup!E126"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F126"")=True,""Pass"",INDIRECT(""Setup!G126"")=True,""Fail"",INDIRECT(""Setup!H126"")=True,""N/A"",INDIRECT(""Setup!I126"")=True,""Retest"")",.AI Files,,,,
3,"=IFS(INDIRECT(""Setup!B127"")=True,""Pass"",INDIRECT(""Setup!C127"")=True,""Fail"",INDIRECT(""Setup!D127"")=True,""N/A"",INDIRECT(""Setup!E127"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F127"")=True,""Pass"",INDIRECT(""Setup!G127"")=True,""Fail"",INDIRECT(""Setup!H127"")=True,""N/A"",INDIRECT(""Setup!I127"")=True,""Retest"")",.CDR Files,,,,
3,"=IFS(INDIRECT(""Setup!B128"")=True,""Pass"",INDIRECT(""Setup!C128"")=True,""Fail"",INDIRECT(""Setup!D128"")=True,""N/A"",INDIRECT(""Setup!E128"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F128"")=True,""Pass"",INDIRECT(""Setup!G128"")=True,""Fail"",INDIRECT(""Setup!H128"")=True,""N/A"",INDIRECT(""Setup!I128"")=True,""Retest"")",.DST Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B129"")=True,""Pass"",INDIRECT(""Setup!C129"")=True,""Fail"",INDIRECT(""Setup!D129"")=True,""N/A"",INDIRECT(""Setup!E129"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F129"")=True,""Pass"",INDIRECT(""Setup!G129"")=True,""Fail"",INDIRECT(""Setup!H129"")=True,""N/A"",INDIRECT(""Setup!I129"")=True,""Retest"")",.EXP Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B130"")=True,""Pass"",INDIRECT(""Setup!C130"")=True,""Fail"",INDIRECT(""Setup!D130"")=True,""N/A"",INDIRECT(""Setup!E130"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F130"")=True,""Pass"",INDIRECT(""Setup!G130"")=True,""Fail"",INDIRECT(""Setup!H130"")=True,""N/A"",INDIRECT(""Setup!I130"")=True,""Retest"")",.JEF Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B131"")=True,""Pass"",INDIRECT(""Setup!C131"")=True,""Fail"",INDIRECT(""Setup!D131"")=True,""N/A"",INDIRECT(""Setup!E131"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F131"")=True,""Pass"",INDIRECT(""Setup!G131"")=True,""Fail"",INDIRECT(""Setup!H131"")=True,""N/A"",INDIRECT(""Setup!I131"")=True,""Retest"")",.PES Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B132"")=True,""Pass"",INDIRECT(""Setup!C132"")=True,""Fail"",INDIRECT(""Setup!D132"")=True,""N/A"",INDIRECT(""Setup!E132"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F132"")=True,""Pass"",INDIRECT(""Setup!G132"")=True,""Fail"",INDIRECT(""Setup!H132"")=True,""N/A"",INDIRECT(""Setup!I132"")=True,""Retest"")",.XXX Files - Embroidery File,Designer Edition+ and above.,,,
,Design,,,,,,
,Line Tools,,,,,,
,Line,,,,,,
2,"=IFS(INDIRECT(""Setup!B136"")=True,""Pass"",INDIRECT(""Setup!C136"")=True,""Fail"",INDIRECT(""Setup!D136"")=True,""N/A"",INDIRECT(""Setup!E136"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F136"")=True,""Pass"",INDIRECT(""Setup!G136"")=True,""Fail"",INDIRECT(""Setup!H136"")=True,""N/A"",INDIRECT(""Setup!I136"")=True,""Retest"")",2-point Click,,,,
2,"=IFS(INDIRECT(""Setup!B137"")=True,""Pass"",INDIRECT(""Setup!C137"")=True,""Fail"",INDIRECT(""Setup!D137"")=True,""N/A"",INDIRECT(""Setup!E137"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F137"")=True,""Pass"",INDIRECT(""Setup!G137"")=True,""Fail"",INDIRECT(""Setup!H137"")=True,""N/A"",INDIRECT(""Setup!I137"")=True,""Retest"")",Drag-Click,,,,
3,"=IFS(INDIRECT(""Setup!B138"")=True,""Pass"",INDIRECT(""Setup!C138"")=True,""Fail"",INDIRECT(""Setup!D138"")=True,""N/A"",INDIRECT(""Setup!E138"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F138"")=True,""Pass"",INDIRECT(""Setup!G138"")=True,""Fail"",INDIRECT(""Setup!H138"")=True,""N/A"",INDIRECT(""Setup!I138"")=True,""Retest"")",Edit Point,,,,
,Poly-Line,,,,,,
2,"=IFS(INDIRECT(""Setup!B140"")=True,""Pass"",INDIRECT(""Setup!C140"")=True,""Fail"",INDIRECT(""Setup!D140"")=True,""N/A"",INDIRECT(""Setup!E140"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F140"")=True,""Pass"",INDIRECT(""Setup!G140"")=True,""Fail"",INDIRECT(""Setup!H140"")=True,""N/A"",INDIRECT(""Setup!I140"")=True,""Retest"")",2-point Click,,,,
3,"=IFS(INDIRECT(""Setup!B141"")=True,""Pass"",INDIRECT(""Setup!C141"")=True,""Fail"",INDIRECT(""Setup!D141"")=True,""N/A"",INDIRECT(""Setup!E141"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F141"")=True,""Pass"",INDIRECT(""Setup!G141"")=True,""Fail"",INDIRECT(""Setup!H141"")=True,""N/A"",INDIRECT(""Setup!I141"")=True,""Retest"")",Drag-Click,,,,
,Curve,,,,,,
2,"=IFS(INDIRECT(""Setup!B143"")=True,""Pass"",INDIRECT(""Setup!C143"")=True,""Fail"",INDIRECT(""Setup!D143"")=True,""N/A"",INDIRECT(""Setup!E143"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F143"")=True,""Pass"",INDIRECT(""Setup!G143"")=True,""Fail"",INDIRECT(""Setup!H143"")=True,""N/A"",INDIRECT(""Setup!I143"")=True,""Retest"")",2-point Click,,,,
